region,sv_count,ratio
Exonic,7730,0.08201939604863867
Intronic,33226,0.3525454661205781
Promoter,3416,0.03624557010377098
Enhancer,9231,0.09794580141332258
Insulator,12273,0.13022303333828492
Intergenic,53290,0.5654351378307833
